Variables,Tide,means_vals,sd_vals
NN,High,0.8646153846153847,1.209751173629479
NN,Low,4.810533333333334,6.520195423479296
Phosphate,High,0.15487179487179487,0.045576924833253915
Phosphate,Low,0.24613333333333334,0.16600955144560559
Salinity,High,34.415450577820515,0.30804248447363136
Salinity,Low,33.66179496226667,1.2218250201133374
Silicate,High,7.227692307692307,7.384098204500418
Silicate,Low,25.2936,29.28841444408776
TA,High,2259.166142820513,44.13202179151865
TA,Low,2284.42623364,42.8652627734082
Temp_in,High,25.987922961794872,1.461714894960546
Temp_in,Low,25.6400809008,1.2206614387070829
pH,High,8.084640064589744,0.1315528110671155
pH,Low,8.029423966986666,0.06293292283053262
percent_sgd,High,0.9102887037179487,0.9299871793869696
percent_sgd,Low,3.1855919395066667,3.688717184430826
